id,title,link,source,raw_text,body_status,body_len,clean_text,nlp_text,summary,keywords,text_length_chars,num_sentences,num_keywords,ingest_object_name
https://lenta.ru/news/2025/12/10/switch/,Переход с iPhone на Android-смартфоны упростили,https://lenta.ru/news/2025/12/10/switch/,lenta.ru,"Американские корпорации Apple и Google договорились о создании технологии быстрого обмена данными между iPhone и Android-устройствами. Об этом сообщает профильное издание 9to5Google.
Новую технологию обнаружили в бета-версии сборки операционной системы (ОС) Android. Специалисты о",ok,1305,Американские корпорации Apple и Google договорились о создании технологии быстрого обмена данными между iPhone и Android-устройствами. Об этом сообщает профильное издание 9to5Google. Новую технологию обнаружили в бета-версии сборки операционной системы (ОС) Android. Специалисты о,Американские корпорации Apple и Google договорились о создании технологии быстрого обмена данными между iPhone и Android-устройствами. Об этом сообщает профильное издание 9to5Google. Новую технологию обнаружили в бета-версии сборки операционной системы (ОС) Android. Специалисты о,Американские корпорации Apple и Google договорились о создании технологии быстрого обмена данными между iPhone и Android-устройствами. Об этом сообщает профильное издание 9to5Google. Новую технологию обнаружили в бета-версии сборки операционной системы (ОС) Android.,google; apple; android; смартфон; apple google; технология; iphone; технология быстрый; 9to5google; iphone android,1305,11,10,legacy_no_body_enriched_processed.parquet
https://lenta.ru/news/2025/12/10/glava-iihfnazval-sroki-obsuzhdeniya-vozvrascheniya-sbornoy-rossii-na-mezhdunarodnye-turniry/,Глава IIHF назвал сроки обсуждения возвращения сборной России на международные турниры,https://lenta.ru/news/2025/12/10/glava-iihfnazval-sroki-obsuzhdeniya-vozvrascheniya-sbornoy-rossii-na-mezhdunarodnye-turniry/,lenta.ru,"Глава Международной федерации хоккея (IIHF) Люк Тардиф назвал сроки очередного обсуждения возвращения сборной России на турниры под эгидой организации. Об этом сообщает ТАСС .
Последнее заседание IIHF, на котором обсуждался этот вопрос, прошло 3 декабря. «Никакого решения тогда в",ok,757,"Глава Международной федерации хоккея (IIHF) Люк Тардиф назвал сроки очередного обсуждения возвращения сборной России на турниры под эгидой организации. Об этом сообщает ТАСС. Последнее заседание IIHF, на котором обсуждался этот вопрос, прошло 3 декабря. «Никакого решения тогда вы","Глава Международной федерации хоккея (IIHF) Люк Тардиф назвал сроки очередного обсуждения возвращения сборной России на турниры под эгидой организации. Об этом сообщает ТАСС. Последнее заседание IIHF, на котором обсуждался этот вопрос, прошло 3 декабря. «Никакого решения тогда вы","Глава Международной федерации хоккея (IIHF) Люк Тардиф назвал сроки очередного обсуждения возвращения сборной России на турниры под эгидой организации. Об этом сообщает ТАСС. Последнее заседание IIHF, на котором обсуждался этот вопрос, прошло 3 декабря.",iihf; турнир; хоккей; тардиф; сборная; февраль; международный; ранее чемпион; люк; срок очередной,756,9,10,legacy_no_body_enriched_processed.parquet
https://lenta.ru/news/2025/12/10/peregovory-ssha-i-evropy-po-ukraine-opisali-odnim-slovom/,Переговоры США и Европы по Украине описали одним словом,https://lenta.ru/news/2025/12/10/peregovory-ssha-i-evropy-po-ukraine-opisali-odnim-slovom/,lenta.ru,"Переговоры США и Европы по предоставлению гарантий безопасности Украине можно назвать неловкими. Об этом на анонимной основе заявил высокопоставленный представитель министерства обороны одной из европейских стран в беседе с Politico.
По словам собеседника издания, обсуждение гара",ok,766,"Переговоры США и Европы по предоставлению гарантий безопасности Украине можно назвать неловкими. Об этом на анонимной основе заявил высокопоставленный представитель министерства обороны одной из европейских стран в беседе с Politico. По словам собеседника издания, обсуждение гара","Переговоры США и Европы по предоставлению гарантий безопасности Украине можно назвать неловкими. Об этом на анонимной основе заявил высокопоставленный представитель министерства обороны одной из европейских стран в беседе с Politico. По словам собеседника издания, обсуждение гара","Переговоры США и Европы по предоставлению гарантий безопасности Украине можно назвать неловкими. Об этом на анонимной основе заявил высокопоставленный представитель министерства обороны одной из европейских стран в беседе с Politico. По словам собеседника издания, обсуждение гара",неловкий; случай нападение; переговоры сша; сша; гарантия безопасность; нападение; гарантия; нато; случай; можно,765,6,10,legacy_no_body_enriched_processed.parquet
